message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"油價漲、房價漲、電價漲...為了省錢，麥當勞趕工為大家推出優惠券！半價、買一送一、優惠多多…抗漲省錢絕招盡出，不多說，想省快列印！
http://www.mcdonalds.com.tw/Campaign_201204_12374/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/368378846538139/?type=3,https://www.facebook.com/mcdonalds.tw/posts/367818949927462:1,2012-04-13T07:29:42+0000,photo,Timeline Photos,101615286547831_368378846538139,919,3777,NONE,3777,false,false,chronological,93,false
"愛，要時時叮嚀，才能讓每一瞬，都成為經典！即日起到麥當勞享用『經典大早餐』，就送『 Post-it 狠黏便條紙體驗組』 ，讓你把關心黏在家人心裡，提醒他們吃份好早餐！贈品數量有限，送完為止唷！
http://www.mcdonalds.com.tw/#/news_bigbreakfast",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/367818929927464/?type=3,https://www.facebook.com/mcdonalds.tw/posts/367818949927462:0,2012-04-12T12:19:47+0000,photo,Timeline Photos,101615286547831_367818929927464,113,1400,NONE,1400,false,false,chronological,42,false
"大家有暗戀的經驗嗎？是不是很難說出口啊？
說不出口，就用新出的『摩卡OREO冰炫風』吧！咖啡的苦甜裡有冰淇淋的香甜，送暗戀的人吃，不必多說，一口就明白你的心意啦！http://www.mcdonalds.com.tw/#/news_moca_flurry",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/364191810290176/?type=3,https://www.facebook.com/mcdonalds.tw/posts/364191830290174:0,2012-04-06T12:37:26+0000,photo,Timeline Photos,101615286547831_364191810290176,695,3489,NONE,3489,false,false,chronological,74,false
麥當勞鷄肉Menu，新口味雙雙殺進場！『椒香白醬鷄腿堡』和『板烤鷄腿蔬食』向『板烤鷄腿堡』下讚帖，只為讚住僅僅開放一席的Menu！史上最激烈競爭，快用神聖1讚決定吧！http://www.mcdonalds.com.tw/#/news_grilled,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/362786027097421/?type=3,https://www.facebook.com/mcdonalds.tw/posts/362510837124940:2,2012-04-04T03:07:08+0000,photo,Timeline Photos,101615286547831_362786027097421,199,2754,NONE,2754,false,false,chronological,54,false
"找一天，不設鬧鐘、沒有下一行程，順從早晨緩緩的步調，和家人吃一頓『經典大早餐』，現場為你手作，全新的蓬鬆滑嫩雙炒蛋，讓你在不經意的笑語中，找回生活的感覺！
http://www.mcdonalds.com.tw/#/news_bigbreakfast",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/362510817124942/?type=3,https://www.facebook.com/mcdonalds.tw/posts/362510837124940:0,2012-04-03T17:47:31+0000,photo,Timeline Photos,101615286547831_362510817124942,308,2645,NONE,2645,false,false,chronological,140,false
"經過3周長期作讚，恭喜『勁辣鷄腿堡』以33,636個讚，險勝
『法式田園雞腿堡』，連任8號餐主角，繼續讚住『麥當勞美
味鷄肉系列』霸主地位！勁辣粉絲們，看到這就別管風度了，
快按讚吧！
http://www.mcdonalds.com.tw/Campaign_201203_12155/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/359912214051469/?type=3,https://www.facebook.com/mcdonalds.tw/posts/359912230718134:0,2012-03-30T06:42:37+0000,photo,Timeline Photos,101615286547831_359912214051469,59,4106,NONE,4106,false,false,chronological,70,false
,https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/359393470770010/?type=3,https://www.facebook.com/mcdonalds.tw/posts/359393480770009,2012-03-29T11:11:49+0000,photo,麥當勞's cover photo,101615286547831_359393470770010,16,161,NONE,161,false,false,chronological,39,false
"麥當勞8號餐，由你決定誰當家！『勁辣鷄腿堡』暫時險勝，想讓『法式田園鷄腿堡』翻盤，擠進樣樣精選的『美味鷄肉系列』？最後機會快來按讚，由你決定！
http://www.mcdonalds.com.tw/Campaign_201203_12155/?ref=fbwall",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/351938934848797/?type=3,https://www.facebook.com/mcdonalds.tw/posts/351938968182127:0,2012-03-16T16:30:40+0000,photo,Timeline Photos,101615286547831_351938934848797,92,1705,NONE,1705,false,false,chronological,70,false
"面對太多人擁戴『超值晚餐$79元起』，麥當勞怎能不熱情回應，現在宣布和大家續攤！限期『超值晚餐』，優惠延長至2012年3月30日，繼續盡情享用囉！

http://www.mcdonalds.com.tw/#/news_valuedinner",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/350559504986740/?type=3,https://www.facebook.com/mcdonalds.tw/posts/350559518320072:0,2012-03-14T07:18:08+0000,photo,Timeline Photos,101615286547831_350559504986740,622,3804,NONE,3804,false,false,chronological,108,false
"鳳梨酸甜爽快，芒果香甜細緻，兩種你最熟悉的味道首次交融，做成『雙果鳳芒派』，沒想到交疊出甜美層次，簡直相見恨晚，想吃動作要快，晚來就吃不到啦！
http://www.mcdonalds.com.tw/#/news_PineappleMangoPie",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/347584051950952/?type=3,https://www.facebook.com/mcdonalds.tw/posts/347584081950949:0,2012-03-09T08:08:13+0000,photo,Timeline Photos,101615286547831_347584051950952,300,1757,NONE,1757,false,false,chronological,89,false
